id,email,password_hash,name,username,bio,avatar_url,created_at,updated_at,last_login_at,is_verified,is_email_verified
22222222-2222-2222-2222-222222222222,siti@anigmaa.com,$2a$10$xyz...,Siti Nurhaliza,sitinur,Foodie & travel lover 🌏,https://i.pravatar.cc/150?img=2,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
33333333-3333-3333-3333-333333333333,budi@anigmaa.com,$2a$10$xyz...,Budi Santoso,budisantoso,Gamer | Esports enthusiast,https://i.pravatar.cc/150?img=3,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
44444444-4444-4444-4444-444444444444,maya@anigmaa.com,$2a$10$xyz...,Maya Wijaya,mayawijaya,Artist & designer 🎨,https://i.pravatar.cc/150?img=4,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
55555555-5555-5555-5555-555555555555,andi@anigmaa.com,$2a$10$xyz...,Andi Pratama,andipratama,Fitness & sports | Marathon runner,https://i.pravatar.cc/150?img=5,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
66666666-6666-6666-6666-666666666666,dewi@anigmaa.com,$2a$10$xyz...,Dewi Lestari,dewilestari,Writer | Book lover 📚,https://i.pravatar.cc/150?img=6,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
77777777-7777-7777-7777-777777777777,agus@anigmaa.com,$2a$10$xyz...,Agus Setiawan,agussetiawan,Music producer | DJ,https://i.pravatar.cc/150?img=7,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
88888888-8888-8888-8888-888888888888,rina@anigmaa.com,$2a$10$xyz...,Rina Kusuma,rinakusuma,Photographer | Content creator,https://i.pravatar.cc/150?img=8,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
99999999-9999-9999-9999-999999999999,doni@anigmaa.com,$2a$10$xyz...,Doni Rahman,donirahman,Tech enthusiast | Developer,https://i.pravatar.cc/150?img=9,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,linda@anigmaa.com,$2a$10$xyz...,Linda Permata,lindapermata,Yoga instructor | Wellness coach,https://i.pravatar.cc/150?img=10,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,rizki@anigmaa.com,$2a$10$xyz...,Rizki Maulana,rizkimaulana,Student | Coffee addict,https://i.pravatar.cc/150?img=11,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
cccccccc-cccc-cccc-cccc-cccccccccccc,sarah@anigmaa.com,$2a$10$xyz...,Sarah Amelia,sarahamelia,Marketing | Social media enthusiast,https://i.pravatar.cc/150?img=12,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
dddddddd-dddd-dddd-dddd-dddddddddddd,tommy@anigmaa.com,$2a$10$xyz...,Tommy Wijaya,tommywijaya,Entrepreneur | Startup founder,https://i.pravatar.cc/150?img=13,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,novi@anigmaa.com,$2a$10$xyz...,Novi Indah,noviindah,Fashion blogger | Style icon,https://i.pravatar.cc/150?img=14,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
ffffffff-ffff-ffff-ffff-ffffffffffff,hadi@anigmaa.com,$2a$10$xyz...,Hadi Kurniawan,hadikurniawan,Chef | Culinary expert,https://i.pravatar.cc/150?img=15,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
10101010-1010-1010-1010-101010101010,tina@anigmaa.com,$2a$10$xyz...,Tina Sari,tinasari,Student | Anime lover,https://i.pravatar.cc/150?img=16,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
20202020-2020-2020-2020-202020202020,ferry@anigmaa.com,$2a$10$xyz...,Ferry Gunawan,ferrygunawan,Cyclist | Outdoor enthusiast,https://i.pravatar.cc/150?img=17,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
30303030-3030-3030-3030-303030303030,indah@anigmaa.com,$2a$10$xyz...,Indah Sari,indahsari,Dancer | Choreographer,https://i.pravatar.cc/150?img=18,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
40404040-4040-4040-4040-404040404040,bambang@anigmaa.com,$2a$10$xyz...,Bambang Sutopo,bambangsutopo,Film maker | Cinematographer,https://i.pravatar.cc/150?img=19,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
50505050-5050-5050-5050-505050505050,yuni@anigmaa.com,$2a$10$xyz...,Yuni Astuti,yuniastuti,Teacher | Education advocate,https://i.pravatar.cc/150?img=20,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
60606060-6060-6060-6060-606060606060,eko@anigmaa.com,$2a$10$xyz...,Eko Prasetyo,ekoprasetyo,Basketball player | Sports coach,https://i.pravatar.cc/150?img=21,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
70707070-7070-7070-7070-707070707070,putri@anigmaa.com,$2a$10$xyz...,Putri Maharani,putrimaharani,Vlogger | Content creator,https://i.pravatar.cc/150?img=22,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
80808080-8080-8080-8080-808080808080,irfan@anigmaa.com,$2a$10$xyz...,Irfan Hakim,irfanhakim,Graphic designer | Illustrator,https://i.pravatar.cc/150?img=23,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
90909090-9090-9090-9090-909090909090,lina@anigmaa.com,$2a$10$xyz...,Lina Marlina,linamarlina,Nutritionist | Healthy lifestyle,https://i.pravatar.cc/150?img=24,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
a0a0a0a0-a0a0-a0a0-a0a0-a0a0a0a0a0a0,dimas@anigmaa.com,$2a$10$xyz...,Dimas Ardiansyah,dimasardiansyah,Musician | Guitarist,https://i.pravatar.cc/150?img=25,2025-11-10 03:13:17.233883+00,2025-11-10 03:13:17.233883+00,,t,t
70f67160-2497-4947-82ee-dadd94ee9b4b,mailhilmi@gmail.com,"",Muhammad Hilmi Izzulhaq,muhammadhilmiizzulha,,https://lh3.googleusercontent.com/a/ACg8ocITM5rJq7WqnChoSWrerbm2Vs80CGhetmdRZlmlvWiBJ1kA1bhT=s96-c,2025-11-10 04:06:05.485673+00,2025-11-12 15:56:24.485866+00,2025-11-12 15:56:24.484031+00,f,f
